时间,维度,来源,X,Y,Z,事件,目标,x,y,z,附加信息
2023-08-20 02:34:41,主世界,weiheping,5129,74,5355,玩家死亡,,,,,
2023-08-20 02:34:41,,weiheping,,,,离开服务器,,,,,
2023-08-20 02:34:41,主世界,weiheping,-28,72,452,进入服务器,,,,,xuid=-10790567536229665938
2023-08-20 16:48:28,,,,,,执行后台命令,allowlist add SakurajimaMai,,,,
2023-08-20 17:03:01,,DHYXH,,,,开始进服,,,,,xuid=2535439591015631
2023-08-20 17:03:06,主世界,DHYXH,-209,65,818,进入服务器,,,,,xuid=2535439591015631
2023-08-20 17:04:30,主世界,DHYXH,-208,66,812,使用物品,Firework Rocket,,,,类型：minecraft:firework_rocket
2023-08-20 17:04:35,主世界,DHYXH,-219,66,794,使用物品,Firework Rocket,,,,类型：minecraft:firework_rocket
2023-08-20 17:04:56,主世界,DHYXH,-162,65,741,使用物品,Firework Rocket,,,,类型：minecraft:firework_rocket
2023-08-20 17:05:01,主世界,DHYXH,-113,106,668,使用物品,Firework Rocket,,,,类型：minecraft:firework_rocket
2023-08-20 17:05:06,主世界,DHYXH,-152,194,766,使用物品,Firework Rocket,,,,类型：minecraft:firework_rocket
2023-08-20 17:05:12,主世界,DHYXH,-185,222,896,使用物品,Firework Rocket,,,,类型：minecraft:firework_rocket
2023-08-20 17:05:25,主世界,DHYXH,-249,195,986,方块接受玩家互动,minecraft:frame,-245,195,985,
2023-08-20 17:05:33,主世界,DHYXH,-266,77,979,使用物品,Firework Rocket,,,,类型：minecraft:firework_rocket
2023-08-20 17:05:35,主世界,DHYXH,-265,134,975,使用物品,Firework Rocket,,,,类型：minecraft:firework_rocket
2023-08-20 17:05:46,,DHYXH,,,,离开服务器,,,,,
2023-08-20 23:19:59,,DHYXH,,,,开始进服,,,,,xuid=2535439591015631
2023-08-20 23:20:04,主世界,DHYXH,-246,195,984,进入服务器,,,,,xuid=2535439591015631
2023-08-20 23:20:10,主世界,DHYXH,-246,199,972,使用物品,Firework Rocket,,,,类型：minecraft:firework_rocket
2023-08-20 23:20:36,主世界,DHYXH,8,75,344,使用物品,Firework Rocket,,,,类型：minecraft:firework_rocket
2023-08-20 23:20:54,主世界,DHYXH,14,75,345,使用物品,Firework Rocket,,,,类型：minecraft:firework_rocket
2023-08-20 23:21:08,主世界,DHYXH,18,75,344,使用物品,Firework Rocket,,,,类型：minecraft:firework_rocket
2023-08-20 23:21:16,主世界,DHYXH,23,74,334,使用物品,Firework Rocket,,,,类型：minecraft:firework_rocket
2023-08-20 23:21:22,,DHYXH,,,,离开服务器,,,,,
2023-08-20 23:24:04,,DHYXH,,,,开始进服,,,,,xuid=2535439591015631
2023-08-20 23:24:09,主世界,DHYXH,23,74,332,进入服务器,,,,,xuid=2535439591015631
2023-08-20 23:24:11,主世界,DHYXH,23,74,332,使用物品,Firework Rocket,,,,类型：minecraft:firework_rocket
2023-08-20 23:24:53,主世界,DHYXH,16,75,335,使用物品,Firework Rocket,,,,类型：minecraft:firework_rocket
2023-08-20 23:25:04,主世界,DHYXH,40,95,285,放置方块,minecraft:air,38,94,285,
2023-08-20 23:25:36,主世界,DHYXH,32,91,285,使用物品,Firework Rocket,,,,类型：minecraft:firework_rocket
2023-08-20 23:25:36,主世界,DHYXH,32,91,285,使用物品,Firework Rocket,,,,类型：minecraft:firework_rocket
2023-08-20 23:25:36,主世界,DHYXH,32,92,285,使用物品,Firework Rocket,,,,类型：minecraft:firework_rocket
2023-08-20 23:25:38,主世界,DHYXH,30,91,284,使用物品,Firework Rocket,,,,类型：minecraft:firework_rocket
