时间,维度,来源,X,Y,Z,事件,目标,x,y,z,附加信息
2023-07-27 08:29:52,,DHYXH,,,,开始进服,,,,,xuid=2535439591015631
2023-07-27 08:29:56,主世界,DHYXH,-136,66,730,进入服务器,,,,,xuid=2535439591015631
2023-07-27 08:30:46,主世界,DHYXH,-138,65,734,打开容器,minecraft:undyed_shulker_box,-136,63,731,
2023-07-27 08:30:46,主世界,DHYXH,-138,65,734,方块接受玩家互动,minecraft:undyed_shulker_box,-136,63,731,
2023-07-27 08:30:47,主世界,DHYXH,-138,65,734,关闭容器,minecraft:undyed_shulker_box,-136,63,731,
2023-07-27 08:30:48,主世界,DHYXH,-137,65,734,打开容器,minecraft:chest,-135,63,731,
2023-07-27 08:30:48,主世界,DHYXH,-137,65,733,方块接受玩家互动,minecraft:chest,-135,63,731,
2023-07-27 08:30:50,主世界,DHYXH,-137,65,733,容器 放入物品,minecraft:chest,-135,63,731,从第0号槽 放入46个 Oak Sapling
2023-07-27 08:30:52,主世界,DHYXH,-137,65,733,关闭容器,minecraft:chest,-135,63,731,
2023-07-27 08:30:54,主世界,DHYXH,-137,65,732,方块接受玩家互动,minecraft:lever,-139,63,732,
2023-07-27 08:30:54,主世界,minecraft:sticky_piston,-138,62,727,活塞推动,minecraft:observer,-138,64,727,
2023-07-27 08:30:54,主世界,minecraft:sticky_piston,-135,63,725,活塞推动,minecraft:observer,-135,65,725,
2023-07-27 08:30:54,主世界,minecraft:sticky_piston,-133,62,727,活塞推动,minecraft:observer,-133,64,727,
2023-07-27 08:30:55,主世界,minecraft:sticky_piston,-135,63,727,活塞推动,minecraft:dirt,-135,64,727,
2023-07-27 08:30:55,主世界,minecraft:sticky_piston,-135,63,727,活塞推动,minecraft:dirt,-135,65,727,
2023-07-27 08:31:11,主世界,DHYXH,-138,65,744,玩家执行命令,tp DHYXH weiheping ,,,,
2023-07-27 08:32:30,主世界,DHYXH,5122,73,5375,玩家执行命令,tp -200 202 1000,,,,
2023-07-27 08:32:36,主世界,DHYXH,-225,150,993,使用物品,Firework Rocket,,,,类型：minecraft:firework_rocket
2023-07-27 08:32:39,主世界,DHYXH,-241,198,984,使用物品,Firework Rocket,,,,类型：minecraft:firework_rocket
2023-07-27 08:33:03,主世界,DHYXH,-246,196,992,使用物品,Golden Carrot,,,,类型：minecraft:golden_carrot
2023-07-27 08:33:04,主世界,DHYXH,-246,195,992,使用物品,Golden Carrot,,,,类型：minecraft:golden_carrot
2023-07-27 08:33:04,主世界,DHYXH,-246,195,992,使用物品,Golden Carrot,,,,类型：minecraft:golden_carrot
2023-07-27 08:33:05,主世界,DHYXH,-246,195,994,使用物品,Golden Carrot,,,,类型：minecraft:golden_carrot
2023-07-27 08:33:08,主世界,DHYXH,-235,196,1002,方块接受玩家互动,minecraft:enchanting_table,-233,194,1000,
2023-07-27 08:33:08,主世界,DHYXH,-235,196,1002,打开容器,minecraft:enchanting_table,-233,194,1000,
2023-07-27 08:33:18,主世界,DHYXH,-249,197,989,放置方块,minecraft:glowstone,-249,198,991,
2023-07-27 08:33:18,主世界,DHYXH,-249,197,989,使用物品,Golden Carrot,,,,类型：minecraft:golden_carrot
2023-07-27 08:33:18,主世界,DHYXH,-249,195,990,打开容器,minecraft:undyed_shulker_box,-249,197,992,
2023-07-27 08:33:18,主世界,DHYXH,-249,195,990,方块接受玩家互动,minecraft:undyed_shulker_box,-249,197,992,
2023-07-27 08:33:20,主世界,DHYXH,-249,195,990,关闭容器,minecraft:undyed_shulker_box,-249,197,992,
2023-07-27 08:33:20,主世界,DHYXH,-249,195,990,打开容器,minecraft:undyed_shulker_box,-251,197,992,
2023-07-27 08:33:20,主世界,DHYXH,-249,195,990,方块接受玩家互动,minecraft:undyed_shulker_box,-251,197,992,
2023-07-27 08:33:21,主世界,DHYXH,-249,195,990,关闭容器,minecraft:undyed_shulker_box,-251,197,992,
2023-07-27 08:33:21,主世界,DHYXH,-249,195,990,打开容器,minecraft:undyed_shulker_box,-252,197,992,
2023-07-27 08:33:21,主世界,DHYXH,-249,195,990,方块接受玩家互动,minecraft:undyed_shulker_box,-252,197,992,
2023-07-27 08:33:22,主世界,DHYXH,-249,195,991,关闭容器,minecraft:undyed_shulker_box,-252,197,992,
2023-07-27 08:33:22,主世界,DHYXH,-249,195,991,打开容器,minecraft:undyed_shulker_box,-252,197,992,
2023-07-27 08:33:22,主世界,DHYXH,-249,195,991,方块接受玩家互动,minecraft:undyed_shulker_box,-252,197,992,
2023-07-27 08:33:23,主世界,DHYXH,-249,195,991,容器 取出物品,minecraft:undyed_shulker_box,-252,197,992,从第7号槽 取出64个 Gunpowder
